,year,award,category,game_name
0,2025,American Tabletop Awards,Early Gamers,Captain Flip
1,2024,American Tabletop Awards,Early Gamers,Blob Party
2,2023,American Tabletop Awards,Early Gamers,boop.
3,2022,American Tabletop Awards,Early Gamers,Happy City
4,2021,American Tabletop Awards,Early Gamers,Abandon All Artichokes
5,2020,American Tabletop Awards,Early Gamers,Draftosaurus
6,2019,American Tabletop Awards,Early Gamers,Catch the Moon
7,2025,American Tabletop Awards,Casual Games,The Gang
8,2024,American Tabletop Awards,Casual Games,Sea Salt & Paper
9,2023,American Tabletop Awards,Casual Games,Turing Machine
10,2022,American Tabletop Awards,Casual Games,Cubitos
11,2021,American Tabletop Awards,Casual Games,The Crew: The Quest for Planet Nine
12,2020,American Tabletop Awards,Casual Games,ShipShape
13,2019,American Tabletop Awards,Casual Games,The Quacks of Quedlinburg
14,2025,American Tabletop Awards,Strategy Games,Let’s Go! To Japan
15,2024,American Tabletop Awards,Strategy Games,Thunder Road: Vendetta
16,2023,American Tabletop Awards,Strategy Games,Planet Unknown
17,2022,American Tabletop Awards,Strategy Games,Cascadia
18,2021,American Tabletop Awards,Strategy Games,Calico
19,2020,American Tabletop Awards,Strategy Games,Wingspan
20,2019,American Tabletop Awards,Strategy Games,Chronicles of Crime
21,2025,American Tabletop Awards,Complex Games,Fromage
22,2024,American Tabletop Awards,Complex Games,The White Castle
23,2023,American Tabletop Awards,Complex Games,Carnegie
24,2022,American Tabletop Awards,Complex Games,Lost Ruins of Arnak
25,2021,American Tabletop Awards,Complex Games,Dominations: Road to Civilization
26,2020,American Tabletop Awards,Complex Games,The Taverns of Tiefenthal
27,2019,American Tabletop Awards,Complex Games,Root
28,2023,As d'Or / Golden Ace,As d'Or Jeu de l'année,Akropolis
29,2022,As d'Or / Golden Ace,As d'Or Jeu de l'année,7 Wonders: Architects
30,2021,As d'Or / Golden Ace,As d'Or Jeu de l'année,MicroMacro: Crime City
31,2020,As d'Or / Golden Ace,As d'Or Jeu de l'année,Oriflamme
32,2019,As d'Or / Golden Ace,As d'Or Jeu de l'année,The Mind
33,2018,As d'Or / Golden Ace,As d'Or Jeu de l'année,Azul
34,2017,As d'Or / Golden Ace,As d'Or Jeu de l'année,Unlock!
35,2016,As d'Or / Golden Ace,As d'Or Jeu de l'année,Mysterium
36,2015,As d'Or / Golden Ace,As d'Or Jeu de l'année,Colt Express
37,2015,As d'Or / Golden Ace,As d'Or Jeu de l'année Grand Prix,Five Tribes
38,2015,As d'Or / Golden Ace,As d'Or Jeu de l'année Enfant,La Chasse aux Gigamons
39,2015,As d'Or / Golden Ace,As d'Or Jeu de l'année Prix du Jury,Loony Quest
40,2023,Board Game Quest Awards,General,Thunder Road: Vendetta
41,2022,Board Game Quest Awards,General,Foundations of Rome
42,2021,Board Game Quest Awards,General,Oath: Chronicles of Empire and Exile
43,2020,Board Game Quest Awards,General,Lost Ruins of Arnak
44,2019,Board Game Quest Awards,General,Wingspan
45,2018,Board Game Quest Awards,General,Root
46,2017,Board Game Quest Awards,General,Clans of Caledonia
47,2016,Board Game Quest Awards,General,Terraforming Mars
48,2015,Board Game Quest Awards,General,Pandemic Legacy
49,2014,Board Game Quest Awards,General,Five Tribes
50,2013,Board Game Quest Awards,General,Nations
51,2024,Deutscher Spiele Preis,General,Forest Shuffle
52,2023,Deutscher Spiele Preis,General,Planet Unknown
53,2022,Deutscher Spiele Preis,General,Ark Nova
54,2021,Deutscher Spiele Preis,General,Lost Ruins Of Arnak
55,2020,Deutscher Spiele Preis,General,The Crew
56,2019,Deutscher Spiele Preis,General,Wingspan
57,2018,Deutscher Spiele Preis,General,Azul
58,2017,Deutscher Spiele Preis,General,Terraforming Mars
59,2016,Deutscher Spiele Preis,General,Mombasa
60,2015,Deutscher Spiele Preis,General,The Voyages of Marco Polo
61,2014,Deutscher Spiele Preis,General,Russian Railroads
62,2013,Deutscher Spiele Preis,General,Terra Mystica
63,2012,Deutscher Spiele Preis,General,Village
64,2011,Deutscher Spiele Preis,General,7 Wonders
65,2010,Deutscher Spiele Preis,General,Fresco
66,2009,Deutscher Spiele Preis,General,Dominion
67,2008,Deutscher Spiele Preis,General,Agricola
68,2007,Deutscher Spiele Preis,General,The Pillars of the Earth
69,2006,Deutscher Spiele Preis,General,Caylus
70,2005,Deutscher Spiele Preis,General,Louis XIV
71,2004,Deutscher Spiele Preis,General,Saint Petersburg
72,2003,Deutscher Spiele Preis,General,Amun-Re
73,2002,Deutscher Spiele Preis,General,Puerto Rico
74,2001,Deutscher Spiele Preis,General,Carcassonne
75,2000,Deutscher Spiele Preis,General,Taj Mahal
76,1999,Deutscher Spiele Preis,General,Tikal
77,1998,Deutscher Spiele Preis,General,Tigris and Euphrates
78,1997,Deutscher Spiele Preis,General,Löwenherz
79,1996,Deutscher Spiele Preis,General,El Grande
80,1995,Deutscher Spiele Preis,General,The Settlers of Catan
81,1994,Deutscher Spiele Preis,General,6 nimmt!
82,1993,Deutscher Spiele Preis,General,Modern Art
83,1992,Deutscher Spiele Preis,General,Flying Dutchman
84,1991,Deutscher Spiele Preis,General,Master Labyrinth
85,1990,Deutscher Spiele Preis,General,Hoity Toity
86,2020,Diamond Climber Awards,Game of the Year,Calico
87,2020,Diamond Climber Awards,Best Heavy Strategy / Euro Game,On Mars
88,2020,Diamond Climber Awards,Best Two Player Game,The Shores of Tripoli
