,year,game_name,trend_value,clean_name,key
23,2004,The Shores of Tripoli,100,the shores of tripoli,2004_the shores of tripoli
51,2009,SHŌBU,100,shbu,2009_shbu
52,2010,SHŌBU,69,shbu,2010_shbu
57,2015,SHŌBU,34,shbu,2015_shbu
78,2013,Inklings,79,inklings,2013_inklings
79,2014,Inklings,100,inklings,2014_inklings
95,2007,Village Pillage,100,village pillage,2007_village pillage
98,2010,Village Pillage,43,village pillage,2010_village pillage
100,2012,Village Pillage,33,village pillage,2012_village pillage
136,2025,Letter Tycoon,100,letter tycoon,2025_letter tycoon
149,2015,Rat-a-Tat Cat,100,ratatat cat,2015_ratatat cat
176,2019,Word Spin Scramble,79,word spin scramble,2019_word spin scramble
181,2024,Word Spin Scramble,100,word spin scramble,2024_word spin scramble
182,2025,Word Spin Scramble,64,word spin scramble,2025_word spin scramble
193,2013,Pyraos (aka Pylos),100,pyraos aka pylos,2013_pyraos aka pylos
222,2019,Why Not?,100,why not,2019_why not
233,2007,Top Secret Spies,100,top secret spies,2007_top secret spies
245,2019,Top Secret Spies,13,top secret spies,2019_top secret spies
254,2005,Railway Rivals,100,railway rivals,2005_railway rivals
260,2011,Railway Rivals,15,railway rivals,2011_railway rivals
269,2020,Railway Rivals,4,railway rivals,2020_railway rivals
283,2011,Isle of Skye: From Chieftain to King,100,isle of skye from chieftain to king,2011_isle of skye from chieftain to king
306,2011,"Geister, Geister, Schatzsuchmeister!",100,geister geister schatzsuchmeister,2011_geister geister schatzsuchmeister
322,2004,Diego Drachenzahn,100,diego drachenzahn,2004_diego drachenzahn
339,2021,Diego Drachenzahn,4,diego drachenzahn,2021_diego drachenzahn
348,2007,Wer war's?,100,wer wars,2007_wer wars
378,2014,Arbos,100,arbos,2014_arbos
404,2017,Ringel-Rangel,100,ringelrangel,2017_ringelrangel
434,2024,Praga Caput Regni,100,praga caput regni,2024_praga caput regni
440,2007,Newton,221,newton,2007_newton
441,2008,Newton,566,newton,2008_newton
442,2009,Newton,324,newton,2009_newton
443,2010,Newton,360,newton,2010_newton
444,2011,Newton,547,newton,2011_newton
445,2012,Newton,471,newton,2012_newton
446,2013,Newton,417,newton,2013_newton
447,2014,Newton,420,newton,2014_newton
448,2015,Newton,413,newton,2015_newton
449,2016,Newton,495,newton,2016_newton
450,2017,Newton,435,newton,2017_newton
451,2018,Newton,533,newton,2018_newton
452,2019,Newton,551,newton,2019_newton
453,2020,Newton,528,newton,2020_newton
454,2021,Newton,445,newton,2021_newton
455,2022,Newton,521,newton,2022_newton
456,2023,Newton,477,newton,2023_newton
457,2024,Newton,495,newton,2024_newton
458,2025,Newton,453,newton,2025_newton
459,2026,Newton,220,newton,2026_newton
468,2012,Bonfire,52,bonfire,2012_bonfire
469,2013,Bonfire,33,bonfire,2013_bonfire
470,2014,Bonfire,21,bonfire,2014_bonfire
472,2016,Bonfire,21,bonfire,2016_bonfire
473,2017,Bonfire,62,bonfire,2017_bonfire
474,2018,Bonfire,76,bonfire,2018_bonfire
475,2019,Bonfire,56,bonfire,2019_bonfire
476,2020,Bonfire,383,bonfire,2020_bonfire
477,2021,Bonfire,568,bonfire,2021_bonfire
478,2022,Bonfire,479,bonfire,2022_bonfire
479,2023,Bonfire,402,bonfire,2023_bonfire
480,2024,Bonfire,327,bonfire,2024_bonfire
481,2025,Bonfire,243,bonfire,2025_bonfire
482,2026,Bonfire,132,bonfire,2026_bonfire
491,2012,Prehistory,100,prehistory,2012_prehistory
497,2018,Prehistory,97,prehistory,2018_prehistory
498,2019,Prehistory,62,prehistory,2019_prehistory
519,2017,Spirit Island,101,spirit island,2017_spirit island
520,2018,Spirit Island,401,spirit island,2018_spirit island
521,2019,Spirit Island,443,spirit island,2019_spirit island
522,2020,Spirit Island,504,spirit island,2020_spirit island
523,2021,Spirit Island,459,spirit island,2021_spirit island
524,2022,Spirit Island,615,spirit island,2022_spirit island
525,2023,Spirit Island,615,spirit island,2023_spirit island
526,2024,Spirit Island,742,spirit island,2024_spirit island
527,2025,Spirit Island,715,spirit island,2025_spirit island
528,2026,Spirit Island,267,spirit island,2026_spirit island
546,2021,Life of a Chameleon,100,life of a chameleon,2021_life of a chameleon
555,2007,Ishtar: Gardens of Babylon,100,ishtar gardens of babylon,2007_ishtar gardens of babylon
562,2014,Ishtar: Gardens of Babylon,18,ishtar gardens of babylon,2014_ishtar gardens of babylon
581,2010,Kodama 3D,100,kodama 3d,2010_kodama 3d
598,2004,Pyramix,100,pyramix,2004_pyramix
636,2019,Ghooost!,100,ghooost,2019_ghooost
639,2022,Ghooost!,91,ghooost,2022_ghooost
666,2026,Dizios,100,dizios,2026_dizios
668,2005,Tic-Tac-Ku,100,tictacku,2005_tictacku
685,2022,Tic-Tac-Ku,3,tictacku,2022_tictacku
690,2004,Hive,34,hive,2004_hive
691,2005,Hive,127,hive,2005_hive
692,2006,Hive,179,hive,2006_hive
693,2007,Hive,234,hive,2007_hive
694,2008,Hive,250,hive,2008_hive
695,2009,Hive,279,hive,2009_hive
696,2010,Hive,296,hive,2010_hive
697,2011,Hive,248,hive,2011_hive
698,2012,Hive,250,hive,2012_hive
699,2013,Hive,223,hive,2013_hive
700,2014,Hive,242,hive,2014_hive
701,2015,Hive,205,hive,2015_hive
702,2016,Hive,211,hive,2016_hive
703,2017,Hive,249,hive,2017_hive
704,2018,Hive,260,hive,2018_hive
705,2019,Hive,258,hive,2019_hive
706,2020,Hive,294,hive,2020_hive
707,2021,Hive,281,hive,2021_hive
708,2022,Hive,357,hive,2022_hive
709,2023,Hive,449,hive,2023_hive
