,award,category,key,award_year,game_name,trend_value,clean_name
0,,,2004_the shores of tripoli,2004,The Shores of Tripoli,100,the shores of tripoli
1,,,2009_shbu,2009,SHŌBU,100,shbu
2,,,2010_shbu,2010,SHŌBU,69,shbu
3,,,2015_shbu,2015,SHŌBU,34,shbu
4,,,2013_inklings,2013,Inklings,79,inklings
5,,,2014_inklings,2014,Inklings,100,inklings
6,,,2007_village pillage,2007,Village Pillage,100,village pillage
7,,,2010_village pillage,2010,Village Pillage,43,village pillage
8,,,2012_village pillage,2012,Village Pillage,33,village pillage
9,,,2025_letter tycoon,2025,Letter Tycoon,100,letter tycoon
10,,,2015_ratatat cat,2015,Rat-a-Tat Cat,100,ratatat cat
11,,,2019_word spin scramble,2019,Word Spin Scramble,79,word spin scramble
12,,,2024_word spin scramble,2024,Word Spin Scramble,100,word spin scramble
13,,,2025_word spin scramble,2025,Word Spin Scramble,64,word spin scramble
14,,,2013_pyraos aka pylos,2013,Pyraos (aka Pylos),100,pyraos aka pylos
15,,,2019_why not,2019,Why Not?,100,why not
16,,,2007_top secret spies,2007,Top Secret Spies,100,top secret spies
17,,,2019_top secret spies,2019,Top Secret Spies,13,top secret spies
18,,,2005_railway rivals,2005,Railway Rivals,100,railway rivals
19,,,2011_railway rivals,2011,Railway Rivals,15,railway rivals
20,,,2020_railway rivals,2020,Railway Rivals,4,railway rivals
21,,,2011_isle of skye from chieftain to king,2011,Isle of Skye: From Chieftain to King,100,isle of skye from chieftain to king
22,,,2011_geister geister schatzsuchmeister,2011,"Geister, Geister, Schatzsuchmeister!",100,geister geister schatzsuchmeister
23,,,2004_diego drachenzahn,2004,Diego Drachenzahn,100,diego drachenzahn
24,,,2021_diego drachenzahn,2021,Diego Drachenzahn,4,diego drachenzahn
25,,,2007_wer wars,2007,Wer war's?,100,wer wars
26,,,2014_arbos,2014,Arbos,100,arbos
27,,,2017_ringelrangel,2017,Ringel-Rangel,100,ringelrangel
28,,,2024_praga caput regni,2024,Praga Caput Regni,100,praga caput regni
29,,,2007_newton,2007,Newton,221,newton
30,,,2008_newton,2008,Newton,566,newton
31,,,2009_newton,2009,Newton,324,newton
32,,,2010_newton,2010,Newton,360,newton
33,,,2011_newton,2011,Newton,547,newton
34,,,2012_newton,2012,Newton,471,newton
35,,,2013_newton,2013,Newton,417,newton
36,,,2014_newton,2014,Newton,420,newton
37,,,2015_newton,2015,Newton,413,newton
38,,,2016_newton,2016,Newton,495,newton
39,,,2017_newton,2017,Newton,435,newton
40,,,2018_newton,2018,Newton,533,newton
41,Le Diamant d'Or,diamant d'argent,2019_newton,2019,Newton,551,newton
42,,,2020_newton,2020,Newton,528,newton
